date,asset,close,volume,industry,market_cap,factor_value
2025-01-02,1,10.85,181959699.0,unknown,1974262734.15,0.023112953923841106
2025-01-02,100,4.9,587702499.0,unknown,2879742245.1000004,0.02244155450255102
2025-01-02,1391,8.61,405378115.0,unknown,3490305570.15,0.021988830991812015
2025-01-02,157,6.58,73692664.0,unknown,484897729.12,0.024217295645961055
2025-01-02,166,4.98,170593498.0,unknown,849555620.0400001,0.02394690731141367
2025-01-02,1979,9.77,108782608.0,unknown,1062806080.16,0.0237887853066825
2025-01-02,2,7.11,118266605.0,unknown,840875561.5500001,0.023953343444066563
2025-01-02,2001,20.74,19614924.0,unknown,406813523.76,0.024275193908325485
2025-01-02,2027,6.55,143269872.0,unknown,938417661.6,0.02388101744581589
2025-01-02,2028,72.3,6083273.0,unknown,439820637.9,0.024250719630261697
2025-01-02,2049,60.61,24391165.0,unknown,1478348510.65,0.02348066685234028
2025-01-02,2142,22.51,358941.0,unknown,8079761.91,0.02457084898800149
2025-01-02,2179,36.82,14665556.0,电子器件,539985771.92,0.024176448691823883
2025-01-02,2230,46.2,55514657.0,电子信息,2564777153.4,0.022675096374826068
2025-01-02,2236,14.82,49737637.0,仪器仪表,737111780.34,0.024030282725201895
2025-01-02,2241,24.65,107682611.0,电子器件,2654376361.15,0.022608659911599768
2025-01-02,2304,76.2,7740860.0,白酒Ⅱ,114791114638.8,-0.06053904279674963
2025-01-02,2311,46.76,6211553.0,饲料,77796948597.2,-0.03310842579098154
2025-01-02,2352,38.18,189641.0,unknown,7240493.38,0.024571471292977508
2025-01-02,2371,278.03,80246.0,unknown,22310795.38,0.024560296890995897
