date,asset,close,volume,industry,market_cap,factor_value
2012-05-28,proxy_01,2.604,1430820966.4,bank,2980686237204.4805,0.06523049492660664
2012-05-28,proxy_02,2.69514,1688368740.352,tech,4186358916722.5054,0.044954497389245146
2012-05-28,proxy_03,2.78628,1945916514.304,consumer,5638742996093.947,0.020529513297865867
2012-05-28,proxy_04,2.87742,2203464288.256,industry,7354738966283.752,-0.008328675708788612
2012-05-28,proxy_05,2.9685600000000005,2461012062.208,energy,9351247318256.873,-0.04190428799197583
2012-05-28,proxy_06,3.0597000000000003,2718559836.1600003,healthcare,11645168542978.254,-0.08048154191295315
2012-05-29,proxy_01,2.654740623927065,798075747.1085964,bank,1694947285456.1072,0.06521913011596236
2012-05-29,proxy_02,2.7466529847832377,942858592.4079406,tech,2382528937700.529,0.044951150074379116
2012-05-29,proxy_03,2.8391495253330175,1087393501.369761,consumer,3210763652994.7314,0.020537111938640787
2012-05-29,proxy_04,2.9320451317010128,1231798123.1539752,industry,4189557720669.187,-0.008314993936624581
2012-05-29,proxy_05,3.025235713493369,1376126383.2711945,energy,5328776551619.177,-0.04189597221508841
2012-05-29,proxy_06,3.118658324533466,1520406265.2532206,healthcare,6638278718126.711,-0.08049642597726928
2012-05-30,proxy_01,2.6568716759543753,293887756.41798294,bank,624657644749.374,0.06522541105274127
2012-05-30,proxy_02,2.7481012859624485,348424499.34740955,tech,880905349540.0433,0.04494348270277951
2012-05-30,proxy_03,2.840393585031694,402610911.3132319,consumer,1189316387748.1829,0.020532842285981612
2012-05-30,proxy_04,2.9334335488602843,456610299.5156264,industry,1553745726770.966,-0.008311629701473058
2012-05-30,proxy_05,3.0270364765564604,510499043.20023715,energy,1977983008018.2913,-0.041889882231265614
2012-05-30,proxy_06,3.121087708306772,564317264.8719592,healthcare,2465797150568.036,-0.08050022410876376
2012-05-31,proxy_01,2.659924004470634,193798554.04992753,bank,412391540759.28143,0.06524289230411993
2012-05-31,proxy_02,2.7509566952492412,231044709.69039416,tech,584746471742.7305,0.0449336777213066
